indicator_id,country_id,date_id,stat,created_at,updated_at
1,1,39170,2.78,2007-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39139,2.42,2007-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39111,2.08,2007-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39080,2.54,2006-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39049,1.97,2006-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39019,1.31,2006-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38988,2.06,2006-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38958,3.82,2006-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38927,4.15,2006-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38896,4.32,2006-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38866,4.17,2006-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38835,3.55,2006-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38805,3.36,2006-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38774,3.6,2006-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38746,3.99,2006-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38715,3.42,2005-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38684,3.46,2005-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38654,4.35,2005-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38623,4.69,2005-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38593,3.64,2005-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38562,3.17,2005-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38531,2.53,2005-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38501,2.8,2005-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38470,3.51,2005-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38440,3.15,2005-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38409,3.01,2005-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38381,2.97,2005-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38350,3.26,2004-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38319,3.52,2004-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38289,3.19,2004-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38258,2.54,2004-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38228,2.65,2004-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38197,2.99,2004-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38166,3.27,2004-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38136,3.05,2004-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38105,2.29,2004-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38075,1.74,2004-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38044,1.69,2004-02-29 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,38015,1.93,2004-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37984,1.88,2003-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37953,1.76,2003-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37923,2.04,2003-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37892,2.32,2003-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37862,2.16,2003-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37831,2.11,2003-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37800,2.11,2003-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37770,2.06,2003-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37739,2.22,2003-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37709,3.02,2003-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37678,2.98,2003-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37650,2.6,2003-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37619,2.38,2002-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37588,2.2,2002-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37558,2.03,2002-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37527,1.51,2002-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37497,1.8,2002-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37466,1.46,2002-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37435,1.07,2002-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37405,1.18,2002-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37374,1.64,2002-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37344,1.48,2002-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37313,1.14,2002-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37285,1.14,2002-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37254,1.55,2001-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37223,1.9,2001-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37193,2.13,2001-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37162,2.65,2001-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37132,2.72,2001-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37101,2.72,2001-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37070,3.25,2001-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37040,3.62,2001-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,37009,3.27,2001-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36979,2.92,2001-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36948,3.53,2001-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36920,3.73,2001-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36889,3.39,2000-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36858,3.45,2000-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36828,3.45,2000-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36797,3.45,2000-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36767,3.41,2000-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36736,3.66,2000-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36705,3.73,2000-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36675,3.19,2000-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36644,3.07,2000-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36614,3.76,2000-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36583,3.22,2000-02-29 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36554,2.74,2000-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36523,2.68,1999-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36492,2.62,1999-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36462,2.56,1999-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36431,2.63,1999-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36401,2.26,1999-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36370,2.14,1999-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36339,1.96,1999-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36309,2.09,1999-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36278,2.28,1999-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36248,1.73,1999-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36217,1.61,1999-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36189,1.67,1999-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36158,1.61,1998-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36127,1.55,1998-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36097,1.49,1998-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,36066,1.49,1998-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
