ticker,price,date
GPRO,8.23,2022-03-06
BW,6.81,2022-03-06
CMI,202.04,2022-03-06
CNQ,58.98,2022-03-06
HCA,265.41,2022-03-06
VRTX,238.66,2022-03-06
SAN,2.96,2022-03-06
CNHI,13.57,2022-03-06
CNX,17.74,2022-03-06
INFO,108.61,2022-03-06
YY,41.33,2022-03-06
ES,85.94,2022-03-06
DXJ,60.26,2022-03-06
FWONK,58.66,2022-03-06
ARMK,35.98,2022-03-06
OII,15.17,2022-03-06
NOW,547.07,2022-03-06
APTV,105.87,2022-03-06
HOMB,22.29,2022-03-06
QD,0.75,2022-03-06
NSC,284.57,2022-03-06
NKTR,10.5,2022-03-06
PSX,84.3,2022-03-06
GAB,6.97,2022-03-06
CERN,93.47,2022-03-06
UPRO,56.04,2022-03-06
MCHI,55.47,2022-03-06
AKAM,112.55,2022-03-06
IEF,113.0,2022-03-06
PNW,74.45,2022-03-06
AMH,39.39,2022-03-06
CDNS,154.69,2022-03-06
LABD,48.58,2022-03-06
FOE,21.66,2022-03-06
A,133.89,2022-03-06
MDRX,21.4,2022-03-06
MOS,59.83,2022-03-06
LPL,7.49,2022-03-06
SKX,37.44,2022-03-06
HST,17.26,2022-03-06
UE,18.53,2022-03-06
PHM,49.37,2022-03-06
MT,29.34,2022-03-06
ISBC,15.59,2022-03-06
CAAP,5.55,2022-03-06
WRE,23.8,2022-03-06
RRC,26.48,2022-03-06
FL,29.59,2022-03-06
NTAP,80.35,2022-03-06
AGO,60.31,2022-03-06
DRE,54.91,2022-03-06
BBBY,16.18,2022-03-06
CCJ,23.48,2022-03-06
MAR,159.28,2022-03-06
AXTA,24.61,2022-03-06
VIAV,15.99,2022-03-06
SHOO,40.26,2022-03-06
CONE,90.3,2022-03-06
AEM,56.49,2022-03-06
BB,6.48,2022-03-06
CB,205.52,2022-03-06
PRU,106.43,2022-03-06
RUN,25.61,2022-03-06
PVG,14.89,2022-03-06
HA,16.81,2022-03-06
INDA,41.5,2022-03-06
PBCT,20.23,2022-03-06
UCBI,36.77,2022-03-06
LBTYA,24.0,2022-03-06
AVYA,12.62,2022-03-06
CBSH,69.39,2022-03-06
SC,41.6,2022-03-06
ANF,28.59,2022-03-06
HIG,67.47,2022-03-06
ITW,212.13,2022-03-06
AZN,57.47,2022-03-06
YELP,32.57,2022-03-06
MTOR,35.57,2022-03-06
EVC,6.35,2022-03-06
SPXS,20.82,2022-03-06
IRM,52.14,2022-03-06
TSCO,221.93,2022-03-06
EWC,38.54,2022-03-06
POST,103.47,2022-03-06
EL,285.69,2022-03-06
ING,9.72,2022-03-06
UBS,15.89,2022-03-06
KRG,22.65,2022-03-06
VSH,18.63,2022-03-06
TER,111.75,2022-03-06
EMB,94.61,2022-03-06
SPSB,30.42,2022-03-06
TWLO,148.82,2022-03-06
TRUE,3.17,2022-03-06
RLGY,17.01,2022-03-06
HPP,26.6,2022-03-06
CNO,23.43,2022-03-06
JNPR,34.15,2022-03-06
SMH,255.35,2022-03-06
URBN,25.32,2022-03-06
ROKU,121.5,2022-03-06
FEDU,0.59,2022-03-06
AUD,3.07,2022-03-06
BANC,18.85,2022-03-06
INVH,39.2,2022-03-06
OMF,46.25,2022-03-06
LW,58.02,2022-03-06
CTRE,17.62,2022-03-06
NHI,55.84,2022-03-06
FE,42.88,2022-03-06
NOC,468.57,2022-03-06
ASH,87.79,2022-03-06
MCHP,67.76,2022-03-06
KLIC,51.14,2022-03-06
O,66.82,2022-03-06
XLV,132.52,2022-03-06
FET,20.93,2022-03-06
TPH,22.69,2022-03-06
AMX,18.47,2022-03-06
FLO,26.95,2022-03-06
SHO,10.56,2022-03-06
TEAM,267.61,2022-03-06
COF,134.12,2022-03-06
EWL,45.93,2022-03-06
FLT,226.33,2022-03-06
PLUG,23.07,2022-03-06
HIMX,11.09,2022-03-06
IGT,25.84,2022-03-06
IBB,122.57,2022-03-06
FANG,137.8,2022-03-06
XLRE,46.67,2022-03-06
TROW,138.75,2022-03-06
ARLP,15.31,2022-03-06
OSK,106.3,2022-03-06
DHR,272.54,2022-03-06
BLMN,22.52,2022-03-06
BNDX,54.06,2022-03-06
AMN,104.61,2022-03-06
PPC,22.61,2022-03-06
GNTX,28.47,2022-03-06
RCL,69.6,2022-03-06
INTU,464.95,2022-03-06
W,124.81,2022-03-06
PCAR,87.95,2022-03-06
IR,46.33,2022-03-06
PEG,67.6,2022-03-06
FBP,12.58,2022-03-06
WEC,94.61,2022-03-06
MDC,44.36,2022-03-06
TISI,0.86,2022-03-06
YUMC,50.42,2022-03-06
ALV,76.53,2022-03-06
IWF,260.08,2022-03-06
BHP,73.12,2022-03-06
BXP,123.16,2022-03-06
BYD,67.05,2022-03-06
WGO,62.8,2022-03-06
PUMP,13.88,2022-03-06
XLNX,194.92,2022-03-06
NOG,27.39,2022-03-06
FOLD,7.89,2022-03-06
JBHT,203.85,2022-03-06
AGG,110.3,2022-03-06
FBHS,84.79,2022-03-06
TXT,71.23,2022-03-06
EXPD,99.52,2022-03-06
EXPE,176.23,2022-03-06
WERN,44.73,2022-03-06
AGI,7.84,2022-03-06
ED,89.88,2022-03-06
HCSG,16.25,2022-03-06
DVAX,10.46,2022-03-06
DLTR,143.47,2022-03-06
VIXY,21.35,2022-03-06
OUT,26.66,2022-03-06
MTSI,57.79,2022-03-06
DBD,7.21,2022-03-06
CBT,71.89,2022-03-06
STOR,30.8,2022-03-06
VEU,55.26,2022-03-06
BGCP,4.42,2022-03-06
VCIT,88.66,2022-03-06
ABB,31.68,2022-03-06
GTE,1.53,2022-03-06
SWKS,135.89,2022-03-06
CP,77.84,2022-03-06
PNR,56.57,2022-03-06
PKI,176.43,2022-03-06
IIVI,65.31,2022-03-06
CROX,71.73,2022-03-06
ASB,23.44,2022-03-06
UHS,149.46,2022-03-06
ENB,44.75,2022-03-06
TDC,46.3,2022-03-06
AG,12.22,2022-03-06
ACHC,62.21,2022-03-06
NAT,2.27,2022-03-06
SPG,136.89,2022-03-06
EWA,24.77,2022-03-06
QRTEA,5.0,2022-03-06
TRIP,21.58,2022-03-06
TRP,56.39,2022-03-06
FAST,53.97,2022-03-06
RH,366.58,2022-03-06
IVV,433.95,2022-03-06
CBRE,89.71,2022-03-06
HGV,48.5,2022-03-06
AEG,4.39,2022-03-06
BTI,41.43,2022-03-06
EWP,23.23,2022-03-06
NVS,84.74,2022-03-06
EWBC,77.28,2022-03-06
QSR,55.5,2022-03-06
GSAT,1.17,2022-03-06
DBEU,31.82,2022-03-06
VRAY,4.02,2022-03-06
SGH,26.91,2022-03-06
ALNY,164.44,2022-03-06
SCHB,102.07,2022-03-06
BMRN,76.32,2022-03-06
CASA,4.35,2022-03-06
SCZ,62.94,2022-03-06
AGNC,13.06,2022-03-06
HRTX,5.31,2022-03-06
LDOS,107.71,2022-03-06
MPW,20.49,2022-03-06
TXMD,0.21,2022-03-06
CIM,12.17,2022-03-06
INSM,22.94,2022-03-06
NG,7.46,2022-03-06
BGFV,16.4,2022-03-06
AEE,89.52,2022-03-06
HCC,38.35,2022-03-06
LAMR,107.62,2022-03-06
EXEL,20.7,2022-03-06
HZNP,99.38,2022-03-06
ADI,156.85,2022-03-06
FLOT,50.61,2022-03-06
AKBA,2.42,2022-03-06
OLED,156.07,2022-03-06
EYE,38.55,2022-03-06
MBT,5.5,2022-03-06
TMO,547.32,2022-03-06
LBRDA,131.78,2022-03-06
OFC,27.59,2022-03-06
STT,80.51,2022-03-06
HLF,35.33,2022-03-06
WRK,43.71,2022-03-06
GREK,24.37,2022-03-06
BR,147.44,2022-03-06
MCD,235.81,2022-03-06
PRO,29.25,2022-03-06
SSNC,75.67,2022-03-06
TWO,5.08,2022-03-06
CHTR,549.93,2022-03-06
AXL,7.96,2022-03-06
ACAD,24.04,2022-03-06
VLY,13.36,2022-03-06
VOD,16.4,2022-03-06
EXTR,10.94,2022-03-06
SUN,42.62,2022-03-06
VECO,27.77,2022-03-06
ZEN,119.81,2022-03-06
ATEN,13.91,2022-03-06
CRC,43.1,2022-03-06
ATUS,11.15,2022-03-06
SIG,67.69,2022-03-06
BDC,56.52,2022-03-06
ERIC,8.1,2022-03-06
XPO,66.74,2022-03-06
APO,63.48,2022-03-06
CRI,95.0,2022-03-06
MANH,130.77,2022-03-06
AGCO,129.84,2022-03-06
